FeedRate,SpindleSpeed,DepthofCut,ratio_cut,Cut_X,Cut_Y,Cut_Z,Cut_XY,Cut_XYZ,Duration,cutdirect,cutmethod
369.3864307,4500,1,1.001661403,0,63.176,0,63.176,63.176,10.16,2,2
255.5148048,4500,1,1.001661403,0,63.176,0,63.176,63.176,14.85,2,1
254.9078062,4500,1,1.001661403,0,63.176,0,63.176,63.176,14.85,2,2
304.7558046,5999,1,1.001582607,0,63.176,0,63.176,63.176,12.48,2,1
298.1469898,5998.765442,1,1.001661403,0,63.176,0,63.176,63.176,12.78,2,2
406.5642398,5999,1,1.001661403,0,63.176,0,63.176,63.176,9.33,2,1
393.4191867,5998.676747,1,1.001661403,0,63.176,0,63.176,63.176,9.58,2,2
251.6207585,5998.807053,1,1.001661403,0,63.176,0,63.176,63.176,15.02,2,1
256.6269257,5998.785666,1,1.001661403,0,63.176,0,63.176,63.176,14.92,2,2
592.4126984,5998.52381,1,1.005496139,0,63.176,0,63.176,63.176,6.29,2,1
609.0208668,5999,1,1.001661403,0,63.176,0,63.176,63.176,6.22,2,2
609.0453834,5999,1,1.001661403,0,63.176,0,63.176,63.176,6.38,2,1
609.0177134,5998.549114,1,1.001661403,0,63.176,0,63.176,63.176,6.2,2,2
609.0224359,5999,1,0.946201931,0,63.176,0,63.176,63.176,6.23,2,1
75.98553758,5998.941009,1,0.955163748,0,66.574,0,66.574,66.574,52.54,2,2
75.81743651,1502.975205,1,1.001506307,0,63.176,0,63.176,63.176,50,2,1
75.96072144,1502.703407,1,1.001661403,0,63.176,0,63.176,63.176,49.89,2,2
101.9727346,1503.576316,1,1.001661403,0,63.176,0,63.176,63.176,37.4,2,1
101.9726174,1503.279195,1,1.001661403,0,63.176,0,63.176,63.176,37.24,2,2
126.9576243,1503.524525,1,1.001582607,0,63.176,0,63.176,63.176,29.96,2,1
126.9576101,1502.020694,1,1.001661403,0,63.176,0,63.176,63.176,29.95,2,2
151.9389313,1503.339092,1,1.001661403,0,63.176,0,63.176,63.176,24.88,2,1
150.1189621,1503.51497,1,1.001661403,0,63.176,0,63.176,63.176,25.04,2,2
228.8612962,4500,1,1.001582607,0,63.176,0,63.176,63.176,16.5,2,1
228.3083383,4500,1,1.001661403,0,63.176,0,63.176,63.176,16.66,2,2
304.756,4500,1,1.001661403,0,63.176,0,63.176,63.176,12.49,2,1
304.7565842,4500,1,1.001661403,0,63.176,0,63.176,63.176,12.52,2,2
376.8524752,4500,1,1.001661403,0,63.176,0,63.176,63.176,10.09,2,1
380.6128049,4500,1,1.001661403,0,63.176,0,63.176,63.176,9.83,2,2
256.2672011,4500,1,1.005496139,0,63.176,0,63.176,63.176,14.96,2,1
255.1095524,4500,1,1.001661403,0,63.176,0,63.176,63.176,14.96,2,2
256.8263514,4500,1,1.001661403,0,63.176,0,63.176,63.176,14.79,2,1
256.8270525,4500,1,1.001661403,0,63.176,0,63.176,63.176,14.85,2,2
252.5239703,4500,1,0.946201931,0,63.176,0,63.176,63.176,14.8,2,1
256.9123945,4500,1,0.955163748,0,66.574,0,66.574,66.574,15.4,2,2
151.9388576,2998,1,1.001506307,0,63.176,0,63.176,63.176,24.85,2,1
150.4391408,2997.884646,1,1.001661403,0,63.176,0,63.176,63.176,25.13,2,2
202.8922505,2998,1,1.001661403,0,63.176,0,63.176,63.176,18.83,2,1
202.8911528,2998,1,1.001661403,0,63.176,0,63.176,63.176,18.64,2,2
247.3372703,2997.80315,1,1.001582607,0,63.176,0,63.176,63.176,15.23,2,1
251.2509855,2998,1,1.001661403,0,63.176,0,63.176,63.176,15.21,2,2
302.668,2998,1,1.001661403,0,63.176,0,63.176,63.176,12.49,2,1
304.7558046,2997.759808,1,1.001661403,0,63.176,0,63.176,63.176,12.48,2,2
304.7552167,5999,1,1.001582607,0,63.176,0,63.176,63.176,12.45,2,1
302.6809865,5998.761337,1,1.001661403,0,63.176,0,63.176,63.176,12.56,2,2
406.5651709,5998.668803,1,1.001661403,0,63.176,0,63.176,63.176,9.35,2,1
406.7965554,5998.677072,1,1.001661403,0,63.176,0,63.176,63.176,9.28,2,2
255.9099462,5998.791667,1,1.001661403,0,63.176,0,63.176,63.176,14.87,2,1
257.8235294,5999,1,1.001661403,0,63.176,0,63.176,63.176,14.61,2,2
609.0255591,5999,1,1.005496139,0,63.176,0,63.176,63.176,6.25,2,1
609.0453834,5998.530516,1,1.001661403,0,63.176,0,63.176,63.176,6.38,2,2
75.51135222,1502.355435,1,1.001661403,0,63.176,0,63.176,63.176,49.76,2,1
75.82363527,1503.285143,1,1.001661403,0,63.176,0,63.176,63.176,50,2,2
75.98473896,1501.502008,1,0.946201931,0,63.176,0,63.176,63.176,49.79,2,1
75.53869499,1503.385432,1,0.955163748,0,66.574,0,66.574,66.574,52.71,2,2
67.61237785,1504.04886,1,1.611315377,3.175,1.588,0,3.549981549,3.549981549,3.06,3,2
224.6561944,4500,1,1.001506307,0,63.176,0,63.176,63.176,16.86,2,1
226.5155317,4500,1,1.001661403,0,63.176,0,63.176,63.176,16.73,2,2
304.7542305,4500,1,1.001661403,0,63.176,0,63.176,63.176,12.4,2,1
297.2377902,4500,1,1.001661403,0,63.176,0,63.176,63.176,12.48,2,2
380.6170854,4500,1,1.001582607,0,63.176,0,63.176,63.176,9.94,2,1
380.6223984,4500,1,1.001661403,0,63.176,0,63.176,63.176,10.08,2,2
251.8115747,4500,1,1.001661403,0,63.176,0,63.176,63.176,14.85,2,1
256.826936,4500,1,1.001661403,0,63.176,0,63.176,63.176,14.84,2,2
151.9389558,2998,1,1.001582607,0,63.176,0,63.176,63.176,24.89,2,1
150.0652347,2998,1,1.001661403,0,63.176,0,63.176,63.176,25.13,2,2
201.0965848,2997.845251,1,1.001661403,0,63.176,0,63.176,63.176,18.73,2,1
199.7964229,2998,1,1.001661403,0,63.176,0,63.176,63.176,19,2,2
