FeedRate,SpindleSpeed,DepthofCut,ratio_cut,Cut_X,Cut_Y,Cut_Z,Cut_XY,Cut_XYZ,Duration,Volumecut,cut_direct,cut_method
302.668,2998,1,1.001661403,0,63.176,0,63.176,63.176,12.49,192.78,2,1
304.7558046,2997.759808,1,1.001661403,0,63.176,0,63.176,63.176,12.48,192.87,2,2
304.7552167,5999,1,1.001582607,0,63.176,0,63.176,63.176,12.45,186.66,2,1
302.6809865,5998.761337,1,1.001661403,0,63.176,0,63.176,63.176,12.56,192.65,2,2
406.5651709,5998.668803,1,1.001661403,0,63.176,0,63.176,63.176,9.35,192.78,2,1
406.7965554,5998.677072,1,1.001661403,0,63.176,0,63.176,63.176,9.28,192.87,2,2
255.9099462,5998.791667,1,1.001661403,0,63.176,0,63.176,63.176,14.87,192.98,2,1
257.8235294,5999,1,1.001661403,0,63.176,0,63.176,63.176,14.61,186.77,2,2
609.0255591,5999,1,1.005496139,0,63.176,0,63.176,63.176,6.25,192.79,2,1
609.0453834,5998.530516,1,1.001661403,0,63.176,0,63.176,63.176,6.38,192.87,2,2
75.51135222,1502.355435,1,1.001661403,0,63.176,0,63.176,63.176,49.76,192.98,2,1
75.82363527,1503.285143,1,1.001661403,0,63.176,0,63.176,63.176,50,186.77,2,2
75.98473896,1501.502008,1,0.946201931,0,63.176,0,63.176,63.176,49.79,83.01,2,1
75.53869499,1503.385432,1,0.955163748,0,66.574,0,66.574,66.574,52.71,317.07,2,2
67.61237785,1504.04886,1,1.611315377,3.175,1.588,0,3.549981549,3.549981549,3.06,10.65,3,2
224.6561944,4500,1,1.001506307,0,63.176,0,63.176,63.176,16.86,186.59,2,1
226.5155317,4500,1,1.001661403,0,63.176,0,63.176,63.176,16.73,192.65,2,2
304.7542305,4500,1,1.001661403,0,63.176,0,63.176,63.176,12.4,192.78,2,1
297.2377902,4500,1,1.001661403,0,63.176,0,63.176,63.176,12.48,192.87,2,2
380.6170854,4500,1,1.001582607,0,63.176,0,63.176,63.176,9.94,186.66,2,1
380.6223984,4500,1,1.001661403,0,63.176,0,63.176,63.176,10.08,192.65,2,2
251.8115747,4500,1,1.001661403,0,63.176,0,63.176,63.176,14.85,192.78,2,1
256.826936,4500,1,1.001661403,0,63.176,0,63.176,63.176,14.84,192.87,2,2
151.9389558,2998,1,1.001582607,0,63.176,0,63.176,63.176,24.89,186.66,2,1
150.0652347,2998,1,1.001661403,0,63.176,0,63.176,63.176,25.13,192.65,2,2
201.0965848,2997.845251,1,1.001661403,0,63.176,0,63.176,63.176,18.73,192.78,2,1
199.7964229,2998,1,1.001661403,0,63.176,0,63.176,63.176,19,192.87,2,2
253.8299866,2998,1,1.001661403,0,63.176,0,63.176,63.176,14.93,192.98,2,1
253.8287256,2998,1,1.001661403,0,63.176,0,63.176,63.176,14.82,186.77,2,2
304.7546259,2997.758648,1,1.005496139,0,63.176,0,63.176,63.176,12.42,192.79,2,1
298.2020767,2997.768371,1,1.001661403,0,63.176,0,63.176,63.176,12.51,192.87,2,2
297.7265501,2998,1,1.001661403,0,63.176,0,63.176,63.176,12.57,192.98,2,1
304.7558046,2998,1,1.001661403,0,63.176,0,63.176,63.176,12.48,186.77,2,2
304.7575517,2998,1,0.946201931,0,63.176,0,63.176,63.176,12.57,83.01,2,1
75.98551001,2998,1,0.955163748,0,66.574,0,66.574,66.574,52.44,317.07,2,2
68.30065359,2998,1,1.611315377,3.175,1.588,0,3.549981549,3.549981549,3.05,10.65,3,2
304.7558046,5998.751801,1,1.001506307,0,63.176,0,63.176,63.176,12.48,186.59,2,1
304.7520325,5999,1,1.001661403,0,63.176,0,63.176,63.176,12.29,192.65,2,2
406.5604752,5998.676026,1,1.001661403,0,63.176,0,63.176,63.176,9.25,192.78,2,1
393.3049422,5998.674027,1,1.001661403,0,63.176,0,63.176,63.176,9.5,192.87,2,2
257.8260283,5998.797707,1,1.001582607,0,63.176,0,63.176,63.176,14.82,186.66,2,1
252.8053691,5998.402685,1,1.001661403,0,63.176,0,63.176,63.176,14.89,192.65,2,2
580.9969325,5999,1,1.001661403,0,63.176,0,63.176,63.176,6.51,192.78,2,1
598.57277,5999,1,1.001661403,0,63.176,0,63.176,63.176,6.38,192.87,2,2
75.68042476,1502.899018,1,1.001582607,0,63.176,0,63.176,63.176,49.9,186.66,2,1
75.54427344,1502.703778,1,1.001661403,0,63.176,0,63.176,63.176,50.02,192.65,2,2
101.0954533,1503.190375,1,1.001661403,0,63.176,0,63.176,63.176,37.6,192.78,2,1
101.9727491,1502.897943,1,1.001661403,0,63.176,0,63.176,63.176,37.42,192.87,2,2
126.3978029,1503.15779,1,1.001661403,0,63.176,0,63.176,63.176,30.03,192.98,2,1
126.9573253,1503.875672,1,1.001661403,0,63.176,0,63.176,63.176,29.75,186.77,2,2
150.0844338,1503.14966,1,1.005496139,0,63.176,0,63.176,63.176,24.98,192.79,2,1
151.9386354,1503.045216,1,1.001661403,0,63.176,0,63.176,63.176,24.76,192.87,2,2
151.9389803,1502.809715,1,1.001661403,0,63.176,0,63.176,63.176,24.9,192.98,2,1
150.2472,1503.28,1,1.001661403,0,63.176,0,63.176,63.176,24.99,186.77,2,2
151.9387097,1502.629032,1,0.946201931,0,63.176,0,63.176,63.176,24.79,83.01,2,1
75.84033613,1500.302521,0,0.69638751,2.988,5.319,0,6.100811831,6.100811831,4.75,0,3,0
71.44294004,1502.481625,0,1.178219198,3.051,5.499,0,6.288688417,6.288688417,5.16,0,3,0
75.86619718,1500.602113,0,0.464618933,12.28,5.818,0,13.58850706,13.58850706,5.67,0,3,0
75.9199157,1502.551106,0,1.139569819,5.797,10.451,0,11.95109242,11.95109242,9.48,0,3,0
72.25531915,1501.12766,0,1.261269202,0,5,0,5,5,4.22,0,2,0
75.80412371,1501.319588,0,1.044758293,4.358,1.895,0,4.75217729,4.75217729,3.87,0,3,0
75.81,1501.325,1,1.455609838,0,5,0,5,5,3.99,8.61,2,2
73.44342508,1501.721713,1,1.157380349,11.057,4.807,0,12.05672003,12.05672003,9.8,41.06,3,2
68.82084691,1501.084691,1,0.185755375,1.305,3.275,0,3.611310802,3.611310802,3.06,0.16,3,2
75.32808532,1503.321991,1,1.168559545,0,24.839,0,24.839,24.839,19.68,75.41,2,2
75.64670051,1503.086294,1,1.168606593,0,24.838,0,24.838,24.838,19.69,69.52,2,2
75.90984579,1503.638197,1,0.619061494,6.763,6.763,0,10.62329556,10.62329556,8.42,11.38,3,2
74.79055441,1503.045175,1,1.058038125,49.025,0,0,49.025,49.025,38.95,143.28,1,2
75.93268379,1502.923826,1,1.285473077,6.976,12.577,0,14.3821245,14.3821245,11.28,52.83,3,2
75.97670855,1502.97487,1,1.100355829,0,41.423,0,41.423,41.423,32.62,120.72,2,2
73.86400725,1503.324569,1,0.653393379,8.763,8.763,0,13.76488821,13.76488821,11.02,24.54,3,2
76,1502.932621,1,1.097054689,39.455,0,0,39.455,39.455,30.86,118.26,1,2
75.9392486,1502.629097,1,1.039337585,14.545,6.324,0,15.8603279,15.8603279,12.5,39.52,3,2
101.7150838,1501.430168,0,0.69638751,2.988,5.319,0,6.100811831,6.100811831,3.57,0,3,0
98.47043702,1502.059126,0,1.190000361,3.02,5.445,0,6.226429555,6.226429555,3.88,0,3,0
95.5404814,1501.035011,0,0.464618933,12.28,5.818,0,13.58850706,13.58850706,4.56,0,3,0
101.8561354,1503.555712,0,1.139569819,5.797,10.451,0,11.95109242,11.95109242,7.08,0,3,0
101.6644737,1499.032895,0,1.261269202,0,5,0,5,5,3.03,0,2,0
93.30794702,1501.980132,0,1.044758293,4.358,1.895,0,4.75217729,4.75217729,3.01,0,3,0
101.8561354,1501.510578,1,0.717798926,7.598,4.807,0,8.990931709,8.990931709,7.08,12.64,3,2
101.9308005,1502.141113,1,1.168559545,0,24.839,0,24.839,24.839,14.73,75.41,2,2
100.4180602,1503.374582,1,1.168606593,0,24.838,0,24.838,24.838,14.94,69.52,2,2
101.840625,1502.8125,1,0.619061494,6.763,6.763,0,10.62329556,10.62329556,6.39,11.38,3,2
101.2129121,1503.083104,1,1.058038125,49.025,0,0,49.025,49.025,29.11,143.28,1,2
101.8819444,1502.587963,1,1.285473077,6.976,12.577,0,14.3821245,14.3821245,8.63,52.83,3,2
100.4719419,1503.404522,1,1.100355829,0,41.423,0,41.423,41.423,24.76,120.72,2,2
99.9517491,1504.512666,1,0.653393379,8.763,8.763,0,13.76488821,13.76488821,8.28,24.54,3,2
101.9561667,1502.927804,1,1.107173259,39.455,0,0,39.455,39.455,23.26,118.79,1,2
98.81276151,1503.058577,1,1.065327869,14.545,6.324,0,15.8603279,15.8603279,9.55,65.71,3,2
126.6208955,1499.955224,0,1.014488266,5.278,5,0,7.270301507,7.270301507,3.34,0,3,0
120.5641892,1502.47973,0,1.220183333,5.797,10.451,0,11.95109242,11.95109242,5.91,0,3,0
120.4053601,1504.058626,1,0.717798926,7.598,4.807,0,8.990931709,8.990931709,5.96,12.64,3,2
125.5294613,1503.882155,1,1.168559545,0,24.839,0,24.839,24.839,11.87,75.41,2,2
123.9128248,1503.752724,1,1.168606593,0,24.838,0,24.838,24.838,11.92,69.52,2,2
119.1695568,1503.104046,1,0.619061494,6.763,6.763,0,10.62329556,10.62329556,5.18,11.38,3,2
126.9449502,1503.291287,1,1.058038125,49.025,0,0,49.025,49.025,23.06,143.25,1,2
126.8087349,1503.518072,1,1.285473077,6.976,12.577,0,14.3821245,14.3821245,6.63,52.83,3,2
126.7987836,1503.47035,1,1.100355829,0,41.423,0,41.423,41.423,19.72,120.72,2,2
121.5917768,1503.038179,1,0.653393379,8.763,8.763,0,13.76488821,13.76488821,6.8,24.54,3,2
125.9169312,1503.195767,1,1.107173259,39.455,0,0,39.455,39.455,18.89,118.79,1,2
126.8306667,1502.586667,1,1.065327869,14.545,6.324,0,15.8603279,15.8603279,7.49,65.71,3,2
74.90335306,1500.7357,0,0.69638751,2.988,5.319,0,6.100811831,6.100811831,5.06,0,3,0
74.7519685,1501.34252,0,1.178219198,3.051,5.499,0,6.288688417,6.288688417,5.07,0,3,0
75.86896552,1499.534483,0,0.464618933,12.28,5.818,0,13.58850706,13.58850706,5.79,0,3,0
73.60504202,1502.434874,0,1.139569819,5.797,10.451,0,11.95109242,11.95109242,9.51,0,3,0
75.8056266,1500.611253,0,1.261269202,0,5,0,5,5,3.9,0,2,0
75.79347826,1500.684783,0,1.044758293,4.358,1.895,0,4.75217729,4.75217729,3.67,0,3,0
69.76119403,1499.79602,1,1.455609838,0,5,0,5,5,4.01,8.61,2,2
75.91983122,1502.734177,1,1.157380349,11.057,4.807,0,12.05672003,12.05672003,9.47,41.06,3,2
75.96092545,1503.061697,1,1.168559545,0,24.839,0,24.839,24.839,19.44,75.41,2,2
75.96122449,1502.806122,1,1.168606593,0,24.838,0,24.838,24.838,19.59,69.52,2,2
74.47641509,1501.865566,1,0.619061494,6.763,6.763,0,10.62329556,10.62329556,8.47,11.38,3,2
75.98030578,1503.096916,1,1.058038125,49.025,0,0,49.025,49.025,38.58,143.28,1,2
73.96369922,1502.681936,1,1.285473077,6.976,12.577,0,14.3821245,14.3821245,11.56,52.83,3,2
75.97672994,1503.27128,1,1.100355829,0,41.423,0,41.423,41.423,32.65,120.72,2,2
75.92995392,1501.820276,1,0.653393379,8.763,8.763,0,13.76488821,13.76488821,10.84,24.54,3,2
75.50448718,1503.288462,1,1.097054689,39.455,0,0,39.455,39.455,31.19,118.26,1,2
74.15793589,1502.518374,1,1.039337585,14.545,6.324,0,15.8603279,15.8603279,12.78,39.52,3,2
99.49484536,1500.546392,0,0.69638751,2.988,5.319,0,6.100811831,6.100811831,3.87,0,3,0
101.7220708,1504.06812,0,1.190000361,3.02,5.445,0,6.226429555,6.226429555,3.66,0,3,0
101.8653846,1499.769231,0,0.464618933,12.28,5.818,0,13.58850706,13.58850706,4.15,0,3,0
101.8567416,1503.213483,0,1.139569819,5.797,10.451,0,11.95109242,11.95109242,7.11,0,3,0
91.68092105,1500.052632,1,1.455609838,0,5,0,5,5,3.03,8.61,2,2
101.8575419,1503.162011,1,1.157380349,11.057,4.807,0,12.05672003,12.05672003,7.15,41.06,3,2
101.3082606,1503.244459,1,1.168559545,0,24.839,0,24.839,24.839,14.88,75.41,2,2
99.9437751,1502.995984,1,1.168606593,0,24.838,0,24.838,24.838,14.93,69.52,2,2
100.0624025,1503.74259,1,0.619061494,6.763,6.763,0,10.62329556,10.62329556,6.4,11.38,3,2
101.8056986,1502.786474,1,1.058038125,49.025,0,0,49.025,49.025,29.12,143.28,1,2
101.8776978,1504.563549,1,1.285473077,6.976,12.577,0,14.3821245,14.3821245,8.33,52.83,3,2
101.9586877,1503.293236,1,1.100355829,0,41.423,0,41.423,41.423,24.68,120.72,2,2
101.6009558,1501.497013,1,0.653393379,8.763,8.763,0,13.76488821,13.76488821,8.36,24.54,3,2
101.9565403,1502.804857,1,1.097054689,39.455,0,0,39.455,39.455,23.46,118.26,1,2
101.9619978,1502.268187,1,1.039337585,14.545,6.324,0,15.8603279,15.8603279,9.2,39.52,3,2
